* Squall
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
11	620	9	8	9	8	24	15
12	663	10	9	10	8	24	15
13	706	11	9	10	9	24	15
14	749	11	10	11	9	24	15
15	792	12	11	12	10	25	15
16	834	13	11	12	10	25	15
17	877	14	12	13	11	25	15
18	920	14	12	14	12	25	15
19	962	15	13	14	12	25	15
20	1005	16	14	15	13	25	15
21	1047	16	14	15	13	25	16
22	1090	17	15	16	14	25	16
23	1132	18	15	17	14	25	16
24	1174	18	16	17	14	25	16
25	1216	19	17	18	15	26	16
26	1258	20	17	18	16	26	16
27	1300	20	18	19	16	26	16
28	1342	21	18	20	17	26	16
29	1384	21	18	20	17	26	16
30	1425	22	19	21	18	27	16
31	1467	23	20	21	18	27	16
32	1508	23	20	22	18	27	16
33	1550	24	20	22	19	27	16
34	1591	24	21	23	19	27	16
35	1632	25	22	24	20	28	17
36	1674	25	22	24	20	28	17
37	1715	26	23	25	21	28	17
38	1756	26	23	25	21	28	17
39	1797	27	23	26	21	28	17
40	1838	28	24	26	22	28	17
41	1879	28	24	27	22	28	17
42	1919	29	25	27	23	28	17
43	1960	29	25	28	23	28	17
44	2001	30	26	28	23	28	17
45	2041	30	26	29	24	29	17
46	2082	31	27	29	24	29	17
47	2122	31	27	30	25	29	17
48	2162	32	27	30	25	29	17
49	2202	32	28	30	25	29	18
50	2242	33	28	31	26	30	18
51	2282	33	29	31	26	30	18
52	2322	34	29	32	26	30	18
53	2362	34	29	32	27	30	18
54	2402	34	30	33	27	30	18
55	2442	35	30	33	28	31	18
56	2482	35	30	33	28	31	18
57	2521	36	31	34	28	31	18
58	2561	36	31	34	28	31	18
59	2600	37	31	35	28	31	18
60	2639	37	32	35	29	31	18
61	2679	38	32	35	29	31	18
62	2718	38	33	36	29	31	18
63	2757	38	33	36	30	31	19
64	2796	39	33	37	30	31	19
65	2835	39	34	37	30	32	19
66	2874	39	34	37	30	32	19
67	2912	40	34	38	31	32	19
68	2951	40	34	38	31	32	19
69	2990	40	34	38	31	32	19
70	3028	41	35	39	32	33	19
71	3067	41	35	39	32	33	19
72	3105	41	35	39	32	33	19
73	3144	42	36	40	32	33	19
74	3182	42	36	40	32	33	19
75	3220	42	36	40	33	34	19
76	3258	43	36	40	33	34	19
77	3296	43	37	41	33	34	20
78	3334	43	37	41	33	34	20
79	3372	43	37	41	33	34	20
80	3410	44	37	42	33	34	20
81	3447	44	37	42	33	34	20
82	3485	44	38	42	33	34	20
83	3522	45	38	42	34	34	20
84	3560	45	38	42	34	34	20
85	3597	45	38	43	34	35	20
86	3634	45	38	43	34	35	20
87	3672	46	39	43	34	35	20
88	3709	46	39	43	34	35	20
89	3746	46	39	44	34	35	20
90	3783	46	39	44	35	36	20
91	3820	47	39	44	35	36	21
92	3857	47	39	44	35	36	21
93	3893	47	39	44	35	36	21
94	3930	47	40	45	35	36	21
95	3967	47	40	45	35	37	21
96	4003	47	40	45	35	37	21
97	4040	48	40	45	35	37	21
98	4076	48	40	45	35	37	21
99	4112	48	40	45	35	37	21
100	4148	48	41	46	36	37	21
----
* Kiros
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	160	1	1	2	2	30	15
2	200	2	2	3	2	30	15
3	240	3	2	4	3	30	15
4	280	3	3	4	4	30	15
5	320	4	4	5	5	31	15
6	359	5	4	6	5	31	16
7	399	6	5	7	6	31	16
8	438	6	5	8	6	31	16
9	477	7	6	8	7	31	16
10	517	8	7	9	8	32	16
11	556	8	7	10	8	32	16
12	595	9	8	11	9	32	16
13	634	10	8	11	9	32	16
14	673	10	8	12	10	32	16
15	712	11	9	13	11	33	16
16	750	12	10	13	11	33	16
17	789	12	10	14	12	33	16
18	828	13	11	15	13	33	17
19	866	14	11	15	13	33	17
20	905	14	12	16	14	34	17
21	943	15	12	17	14	34	17
22	982	15	13	17	15	34	17
23	1020	16	13	18	15	34	17
24	1058	17	13	19	16	34	17
25	1096	17	14	20	17	35	17
26	1134	18	14	20	17	35	17
27	1172	18	15	21	18	35	17
28	1210	19	15	21	18	35	17
29	1248	19	15	22	19	35	17
30	1285	20	16	23	20	36	18
31	1323	21	17	23	20	36	18
32	1360	21	17	24	20	36	18
33	1398	22	17	24	21	36	18
34	1435	22	18	25	21	36	18
35	1472	23	18	26	22	36	18
36	1510	23	19	26	22	36	18
37	1547	24	19	27	23	36	18
38	1584	24	19	27	23	36	18
39	1621	25	19	28	24	36	18
40	1658	25	20	28	24	37	18
41	1695	26	20	29	25	37	18
42	1731	26	21	29	25	37	19
43	1768	27	21	30	25	37	19
44	1805	27	21	30	26	37	19
45	1841	28	22	31	27	38	19
46	1878	28	22	32	27	38	19
47	1914	28	22	32	27	38	19
48	1950	29	23	33	27	38	19
49	1986	29	23	33	28	38	19
50	2022	30	24	34	29	39	19
51	2058	30	24	34	29	39	19
52	2094	31	24	35	29	39	19
53	2130	31	24	35	29	39	19
54	2166	31	24	35	30	39	20
55	2202	32	25	36	31	40	20
56	2238	32	25	36	31	40	20
57	2273	33	25	37	31	40	20
58	2309	33	25	37	31	40	20
59	2344	33	26	38	32	40	20
60	2379	34	26	38	32	41	20
61	2415	34	26	39	32	41	20
62	2450	34	27	39	33	41	20
63	2485	35	27	39	33	41	20
64	2520	35	27	40	33	41	20
65	2555	36	27	40	34	42	20
66	2590	36	28	41	34	42	21
67	2624	36	28	41	34	42	21
68	2659	36	28	41	34	42	21
69	2694	37	28	42	35	42	21
70	2728	37	28	42	35	42	21
71	2763	37	28	42	35	42	21
72	2797	37	29	43	36	42	21
73	2832	38	29	43	36	42	21
74	2866	38	29	43	36	42	21
75	2900	38	29	44	37	43	21
76	2934	38	29	44	37	43	21
77	2968	39	29	44	37	43	21
78	3002	39	29	45	37	43	22
79	3036	39	29	45	37	43	22
80	3070	40	30	45	38	44	22
81	3103	40	30	46	38	44	22
82	3137	40	30	46	38	44	22
83	3170	40	30	46	38	44	22
84	3204	40	30	46	38	44	22
85	3237	41	30	47	39	45	22
86	3270	41	30	47	39	45	22
87	3304	41	30	47	39	45	22
88	3337	41	30	48	39	45	22
89	3370	41	30	48	39	45	22
90	3403	42	31	48	40	46	23
91	3436	42	31	48	40	46	23
92	3469	42	31	49	40	46	23
93	3501	42	31	49	40	46	23
94	3534	42	31	49	40	46	23
95	3567	42	31	49	40	47	23
96	3599	42	31	49	40	47	23
97	3632	42	31	50	40	47	23
98	3664	42	31	50	40	47	23
99	3696	43	31	50	40	47	23
100	3728	43	31	50	41	48	23
----
* Ward
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	210	2	3	2	1	15	10
2	260	3	3	2	1	15	10
3	310	4	4	3	2	15	10
4	360	5	5	4	2	15	10
5	410	6	5	4	3	15	10
6	459	7	6	5	4	16	10
7	509	8	7	6	4	16	10
8	558	8	7	6	5	16	10
9	607	9	8	7	5	16	10
10	657	10	9	8	6	16	10
11	706	11	9	8	7	16	10
12	755	12	10	9	7	17	11
13	804	12	10	9	7	17	11
14	853	13	11	10	8	17	11
15	902	14	12	11	9	17	11
16	950	15	12	11	9	17	11
17	999	16	13	12	10	17	11
18	1048	16	13	12	10	18	11
19	1096	17	14	13	10	18	11
20	1145	18	15	13	11	18	11
21	1193	19	15	14	12	18	11
22	1242	19	16	14	12	18	11
23	1290	20	16	15	12	18	11
24	1338	21	17	15	13	18	11
25	1386	21	17	16	14	18	11
26	1434	22	18	17	14	18	11
27	1482	23	18	17	14	18	11
28	1530	23	19	17	15	18	11
29	1578	24	19	18	15	18	11
30	1625	25	20	19	16	19	11
31	1673	26	20	19	16	19	11
32	1720	26	21	19	16	19	11
33	1768	27	21	20	17	19	11
34	1815	27	22	20	17	19	11
35	1862	28	23	21	18	19	11
36	1910	29	23	21	18	20	12
37	1957	29	23	21	18	20	12
38	2004	30	24	22	19	20	12
39	2051	30	24	22	19	20	12
40	2098	31	25	23	20	20	12
41	2145	32	25	23	20	20	12
42	2191	32	26	24	20	21	12
43	2238	33	26	24	20	21	12
44	2285	34	27	24	21	21	12
45	2331	34	27	25	21	21	12
46	2378	35	28	25	22	21	12
47	2424	35	28	25	22	21	12
48	2470	36	28	26	22	21	12
49	2516	36	29	26	22	21	12
50	2562	37	29	27	23	21	12
51	2608	38	30	27	23	21	12
52	2654	38	30	27	23	21	12
53	2700	39	30	28	23	21	12
54	2746	39	31	28	24	22	12
55	2792	40	31	28	24	22	12
56	2838	40	32	29	24	22	12
57	2883	41	32	29	25	22	12
58	2929	41	32	29	25	22	12
59	2974	42	33	29	25	22	12
60	3019	42	33	30	26	23	13
61	3065	43	34	30	26	23	13
62	3110	43	34	30	26	23	13
63	3155	43	34	30	26	23	13
64	3200	44	35	31	26	23	13
65	3245	45	35	31	27	23	13
66	3290	45	35	31	27	24	13
67	3334	45	36	31	27	24	13
68	3379	46	36	32	27	24	13
69	3424	46	36	32	27	24	13
70	3468	47	37	32	28	24	13
71	3513	47	37	32	28	24	13
72	3557	47	37	33	28	24	13
73	3602	48	37	33	28	24	13
74	3646	48	38	33	28	24	13
75	3690	49	38	33	28	24	13
76	3734	49	38	33	28	24	13
77	3778	49	39	33	28	24	13
78	3822	50	39	34	28	25	13
79	3866	50	39	34	28	25	13
80	3910	51	40	34	29	25	13
81	3953	51	40	34	29	25	13
82	3997	51	40	34	29	25	13
83	4040	51	40	34	29	25	13
84	4084	52	40	35	29	26	14
85	4127	52	41	35	29	26	14
86	4170	52	41	35	29	26	14
87	4214	53	41	35	29	26	14
88	4257	53	41	35	29	26	14
89	4300	53	41	35	29	26	14
90	4343	54	42	35	30	27	14
91	4386	54	42	35	30	27	14
92	4429	54	42	35	30	27	14
93	4471	54	42	35	30	27	14
94	4514	55	42	35	30	27	14
95	4557	55	43	36	30	27	14
96	4599	55	43	36	30	27	14
97	4642	56	43	36	30	27	14
98	4684	56	43	36	30	27	14
99	4726	56	43	36	30	27	14
100	4768	56	44	36	30	27	14
----
